Kernel Name,Average Time (μs),Standard Deviation,Average energy spent (J),Standard Deviation,Average power (W),Standard Deviation
CONV_2D,76255.16342592593,6636.1093890041475,0.2220629050925926,0.013125450664142007,2.9191015060381083,0.08749809050382727
CONV_2D,416251.83101851854,2509.8432027646227,1.2458427939814818,0.018064751141448485,2.9929560945483313,0.04177672811065345
CONV_2D,503711.41157407407,2453.86513004283,1.5568682500000002,0.02292293661434902,3.090889564033053,0.044513809519380235
MAX_POOL_2D,31477.611574074075,958.3051317373757,0.08026512962962963,0.09874143754723853,2.5517231109224503,3.1681799967952675
CONV_2D,21363.793055555554,1815.5429695558369,0.07147291435185185,0.00347934175734774,3.356920427241547,0.1287229710946107
CONV_2D,480026.07083333336,3077.4407304039673,1.580335361111111,0.01029776219214132,3.2922249509067467,0.018267891662228267
MAX_POOL_2D,17226.755092592593,583.5344127416096,0.04519575462962963,0.0015921031789384677,2.6225030294749367,0.03711922882114058
CONV_2D,10548.840277777777,989.8039559670748,0.037753534722222225,0.0021947153423575354,3.5967673163109635,0.15812197873133219
CONV_2D,8252.176388888889,645.7410040797494,0.029944699074074075,0.001751945281838077,3.6408366712037843,0.1531562182366591
CONV_2D,124250.1037037037,1590.0519439992872,0.3792721875,0.004019354638234756,3.052417355286095,0.020900619031397394
CONV_2D,10472.506481481481,984.1357596777535,0.03704496990740741,0.0021814943562634428,3.5571985072771017,0.15361284720518995
CONV_2D,71283.16527777778,1304.8427345987361,0.22179559722222222,0.0030363448481429346,3.1118171435959163,0.02895350506915483
CONV_2D,104617.66064814814,1673.9211932552887,0.32444855324074073,0.003920940942193009,3.10119882824801,0.024420267042818113
AVERAGE_POOL_2D,23898.35185185185,770.0802100456667,0.05802746064814815,0.002016633223627097,2.4278542237589793,0.02936158448427902
CONV_2D,6561.168518518519,585.9323563613283,0.024115335648148148,0.0016558060630275635,3.694162494858949,0.179448044271711
CONCATENATION,2211.050925925926,110.84046843814359,0.00882636574074074,0.001318494260978678,4.02816510280002,0.3091396980421986
CONV_2D,13311.636111111111,816.8822895572433,0.047308625,0.001806220663769201,3.5585274628382106,0.10565490547640849
CONV_2D,10639.216666666667,799.4957185510635,0.03779252777777778,0.0018879971688044398,3.5659044527673753,0.1304139825708052
CONV_2D,124718.86574074074,2352.9547735206706,0.37797883796296294,0.005325385816021658,3.030842266512375,0.02582636834980993
CONV_2D,13415.210648148148,929.7366037683022,0.04721002546296296,0.0019593418057734695,3.526688244751992,0.11277799487373852
CONV_2D,71483.57638888889,1810.6591729149454,0.2214544212962963,0.0038591088209525624,3.097844271784754,0.034303181990028575
CONV_2D,104634.04722222222,1681.828069721574,0.3237114652777778,0.003870712654343907,3.0940014786354415,0.0242209363113051
AVERAGE_POOL_2D,31136.542592592592,882.0032738248327,0.07494894675925927,0.002127797965041745,2.40724290945586,0.026264649595646877
CONV_2D,13562.78287037037,913.0028647794402,0.048666284722222224,0.0019821041195387584,3.5961578647270445,0.11924080424385804
CONCATENATION,2406.212037037037,114.32786447690904,0.008909583333333334,0.00132765096006415,3.7585148399494837,0.24552116640989533
CONV_2D,13968.302777777777,997.6219956920459,0.05022114814814815,0.002271076067821134,3.603025968832551,0.11643979629029345
CONV_2D,11209.612962962963,990.7853255440571,0.04036943518518519,0.0022974041622422317,3.6106788132898133,0.14418350816704148
CONV_2D,124451.71203703704,1951.1878690712142,0.3775492800925926,0.004408865345735325,3.0344702857082186,0.023958919818060396
CONV_2D,14057.744907407407,1094.603709881813,0.05012899768518519,0.002416774624503243,3.5724608675757823,0.12135480426548317
CONV_2D,71484.54166666667,1707.0700329330261,0.22185588425925928,0.0036931225377986945,3.104563105670039,0.03439076375404632
CONV_2D,104522.89212962963,1870.2439784228543,0.32342797453703703,0.004157703833091466,3.095151849028275,0.025252294350213034
AVERAGE_POOL_2D,34817.47546296296,1087.592893158918,0.08350541666666667,0.002364942106898492,2.3990431580710205,0.025402808363236832
CONV_2D,14287.898611111112,1120.035143048975,0.05182606018518519,0.002363890789153427,3.6361886997562736,0.12879268869663077
CONCATENATION,2416.4768518518517,120.27504906307958,0.009123837962962964,0.001429215464551923,3.8095157814308274,0.2795730232124726
CONV_2D,172585.08564814815,5206.5117245207275,0.5688690601851852,0.01141854220182658,3.297072555607415,0.037384056935197335
CONV_2D,14037.754166666668,918.8165164791396,0.05017124768518519,0.0020799028603661895,3.580763199694493,0.1070557416520488
CONV_2D,71518.54768518519,1725.4505894446852,0.22128194907407409,0.003669647298270343,3.094983197720129,0.033728129860848194
CONV_2D,27360.24212962963,2617.876442593893,0.08437916435185185,0.0054758374662497765,3.0933085000824323,0.08808309182040468
MAX_POOL_2D,5823.844444444445,217.5611086284824,0.016799824074074075,0.0012378324437761694,2.877818130352102,0.08611532046229434
CONCATENATION,1152.0587962962964,75.27758978923956,0.0053860856481481485,0.0009502214968771007,4.8209347092358446,0.5054266997558369
CONV_2D,24243.45925925926,1607.390473259493,0.0819762199074074,0.003505252699358915,3.387684287495706,0.0875549746986943
CONV_2D,17102.99861111111,1363.2515237943805,0.0581957037037037,0.002971675728344317,3.4078531721341925,0.1080255455551895
CONV_2D,32105.253703703704,2789.5283645708896,0.09962886574074074,0.005863212920446688,3.1117313217627705,0.08608935409505597
CONV_2D,39086.93796296296,2128.009737612502,0.12432532175925927,0.004553254457862537,3.1833687964807016,0.0601450759578739
CONV_2D,16911.40462962963,1107.2647844763824,0.05778643055555555,0.002583704532433655,3.424580754711766,0.09251156555722827
CONV_2D,31983.89351851852,2734.54810146343,0.09962027546296297,0.005725263616407624,3.121539832142121,0.08417863851403061
CONV_2D,31567.24722222222,2072.834961983687,0.09893569444444444,0.00441376385783686,3.1368716122473623,0.06789171967549024
CONV_2D,31462.995833333334,1881.6977407337872,0.09868295833333333,0.004062813178598029,3.1396630800828627,0.06250696894997805
CONV_2D,39034.933333333334,1901.6797224695465,0.12433449074074074,0.004153275915300831,3.1891745096448716,0.056898667147246826
AVERAGE_POOL_2D,20829.686574074072,713.7036774910082,0.05120140046296297,0.0018822532840395215,2.456925578341115,0.0343591434900651
CONV_2D,24315.839814814815,1717.0599574531038,0.08312513425925926,0.003604805811091377,3.424522303468886,0.09723493247951631
CONCATENATION,1165.0421296296297,68.73032771140066,0.0055336180555555555,0.0010176005273608638,4.903768496416726,0.5338821873758083
CONV_2D,24679.689814814814,1916.5286950552909,0.082181375,0.004048957359860387,3.3384836509788554,0.09753571861911627
CONV_2D,20870.62222222222,1651.7594603002456,0.0698518912037037,0.0035712141926692986,3.352454868001051,0.10048120848166472
CONV_2D,43717.46990740741,2717.4547525998973,0.13768671296296298,0.005697625041776952,3.153084574338722,0.0661133119927386
CONV_2D,47879.00324074074,2433.241733528708,0.1525689351851852,0.005196901879384215,3.1890774185541035,0.056865653389879256
CONV_2D,20553.9,1328.2004113056857,0.0692398611111111,0.002940916744852585,3.3731095391725607,0.08382487622491894
CONV_2D,43541.11574074074,2615.124350759905,0.1373354212962963,0.005609857755368882,3.15880451623194,0.06400461812752949
CONV_2D,43360.56990740741,2343.102951912507,0.13706021296296297,0.005120645315779756,3.1624607223147576,0.05799388718241864
CONV_2D,43243.69768518519,2349.836766945938,0.1367257824074074,0.005027783409039118,3.1657029206442835,0.056984160079986065
CONV_2D,47802.63287037037,2190.671657094535,0.15247337268518518,0.004793203517065926,3.1923290164993277,0.05162455625591741
AVERAGE_POOL_2D,20823.87638888889,685.6451112030111,0.05106226620370371,0.0018261047242307355,2.4522093560030735,0.03333721821509529
CONV_2D,24371.600462962964,1618.1090361499612,0.08263438657407407,0.0034418748835462363,3.3954831432860972,0.09098231850166456
CONCATENATION,1170.650925925926,75.40498926828428,0.005483546296296296,0.000984375609434349,4.879457711485904,0.511746057518301
CONV_2D,24548.318055555555,1859.578201438861,0.08185708796296297,0.003939528806149886,3.3396074904012,0.09571304002753372
CONV_2D,20841.906944444443,1604.1836106314145,0.06971370601851852,0.0034351042330350956,3.352729286530506,0.0992010867383047
CONV_2D,43670.35277777778,2769.589689257984,0.13750954861111112,0.0057916969377664485,3.153005878793618,0.06734981453834532
CONV_2D,47843.70138888889,2445.2927565013706,0.15219043287037037,0.005307898554943161,3.1840742002214553,0.05558272617982437
CONV_2D,20616.748148148148,1372.0516293520743,0.06928588888888888,0.003014961315344642,3.3671893328851237,0.08465039326457358
CONV_2D,43622.65555555555,2684.8788144020004,0.13719285185185187,0.005665419733420455,3.148195616697764,0.06537389332082046
CONV_2D,43330.560648148145,2371.599795072615,0.13707525231481482,0.00502414597208692,3.1653615083067694,0.058747765681537084
CONV_2D,43243.44074074074,2368.9832418554683,0.1364284050925926,0.005054517358930853,3.1583355992418434,0.058225319596576966
CONV_2D,47863.00324074074,2326.696598121835,0.152420375,0.005008405125028528,3.186454743000263,0.054521380952489686
AVERAGE_POOL_2D,20817.868055555555,685.0005735993251,0.05096652777777778,0.001794980895690832,2.4494980823800825,0.03171799680214109
CONV_2D,24333.89537037037,1613.4212198217672,0.08238889583333334,0.003458040693211774,3.390749389747587,0.08915280423696004
CONCATENATION,1167.6268518518518,69.59937354241467,0.005485118055555556,0.0009770237058081212,4.891635211540432,0.5148116455954911
CONV_2D,24548.099537037036,1847.7913983094663,0.08183706712962963,0.003915499932324179,3.340468177904468,0.09536485596636199
CONV_2D,24509.131481481483,1931.4810437918968,0.08154461111111111,0.004044756082888279,3.3344936354085735,0.09763525851242492
CONV_2D,56938.12453703704,2836.073769274753,0.18040253703703704,0.006082563252134813,3.1707124709005305,0.05444145826975412
CONV_2D,56625.44768518519,2613.440279671856,0.18070478703703705,0.0057124738937744095,3.1925079169323167,0.05073537108497816
CONV_2D,24153.549537037037,1423.6966285479061,0.08083987037037037,0.0031465475027241947,3.352518328050887,0.0768979974206295
CONV_2D,56894.94351851852,2804.9561765498934,0.18083992361111112,0.006044254926910309,3.181213939683588,0.054105372379120935
CONV_2D,56655.36574074074,2477.477330600851,0.1802988726851852,0.005488428474560365,3.1850280058957443,0.049066958173179236
CONV_2D,56595.93796296296,2562.87790796819,0.1800936388888889,0.005688199840879709,3.1833332273299533,0.04996819544082108
CONV_2D,56600.04305555556,2516.1767585149228,0.18069002083333335,0.00547634420434594,3.1949798464942556,0.05089302787970958
AVERAGE_POOL_2D,20803.87361111111,691.5182486330461,0.05104378472222222,0.001857552007508786,2.453397185587342,0.03372635198622327
CONV_2D,24335.67361111111,1559.7658354784696,0.08254240046296296,0.0034082817456432464,3.3962955459792425,0.08595943729023324
CONCATENATION,1198.8152777777777,68.75281575322508,0.005581476851851852,0.0010696505332832085,4.806986287167865,0.5450088786633036
CONV_2D,24575.53240740741,1847.4936197117668,0.0811426550925926,0.003935209810047546,3.311135064470507,0.09362101890964195
