Kernel Name,Average Time (μs),Standard Deviation,Average energy spent (J),Standard Deviation,Average power (W),Standard Deviation
CONV_2D,46263.69907407407,4393.6234073432715,0.12767104166666668,0.008305088938200002,2.7669606790505465,0.087680739607943
DEPTHWISE_CONV_2D,30622.61574074074,1051.6300687118526,0.07116377314814815,0.0025489638416679866,2.3231858121898785,0.04209633677401276
CONV_2D,26554.28240740741,1864.5300219233434,0.08238532407407408,0.003689833710567816,3.1091714517685576,0.10241818041631313
DEPTHWISE_CONV_2D,14308.097222222223,578.9074038345909,0.03637127314814815,0.0015086279253204735,2.5429336790273234,0.04913082590137394
CONV_2D,20230.14351851852,1230.3348621090738,0.06241682870370371,0.0026188050822122167,3.0862446977226203,0.08296183586419864
DEPTHWISE_CONV_2D,26963.88888888889,1057.4002083493667,0.06367469907407408,0.002274643241705427,2.3628361713000032,0.042051594660406796
CONV_2D,32982.21759259259,3357.873674617689,0.10316337962962963,0.006135204493735757,3.1399379606323596,0.14515935428759486
DEPTHWISE_CONV_2D,7246.662037037037,314.0525457973178,0.01998039351851852,0.0010760519004050862,2.765075251383272,0.07434745042032859
CONV_2D,18064.337962962964,3410.998193703377,0.0551343287037037,0.006594905679014826,3.0891644023737848,0.2192716229703932
DEPTHWISE_CONV_2D,13280.648148148148,506.44971259292817,0.032845185185185186,0.0013116661241573643,2.47290515971235,0.04498287223656564
CONV_2D,32899.38888888889,2554.274180566012,0.10191784722222222,0.004818661627406176,3.1035015797934347,0.10043757951803368
DEPTHWISE_CONV_2D,3880.652777777778,167.00242510899042,0.011832893518518519,0.00101592383279066,3.0896371606291235,0.13132262368867406
CONV_2D,19157.89351851852,2978.068318551136,0.05754708333333333,0.005840736854397296,3.03433348406959,0.15526948934624563
DEPTHWISE_CONV_2D,5607.125,207.50514970182735,0.015868055555555555,0.001287128017700888,2.8059680423736566,0.09742287320268678
CONV_2D,34210.74074074074,4282.311055853012,0.10408060185185186,0.008864820889690492,3.055469726397286,0.12183144393376072
DEPTHWISE_CONV_2D,5616.699074074074,207.25402019751402,0.01560798611111111,0.001223448656686434,2.772256368100909,0.08292348796603131
CONV_2D,33572.40740740741,3657.011393750258,0.10292201388888889,0.00775791250766976,3.0753371872430413,0.11265075580592859
DEPTHWISE_CONV_2D,6326.407407407408,236.35723265136568,0.017010300925925925,0.0010806291151193306,2.6983694652085344,0.06705805992207041
CONV_2D,33310.458333333336,3386.2950047766067,0.10252025462962963,0.007375988465144284,3.085363586792847,0.09860244490041128
DEPTHWISE_CONV_2D,6407.319444444444,224.9169286805659,0.017138402777777777,0.0011465238807222282,2.67945760468034,0.06472056523041983
CONV_2D,32978.4537037037,3264.907676603665,0.10177983796296297,0.007073992883864544,3.096104333993989,0.09525055145114616
DEPTHWISE_CONV_2D,5637.416666666667,206.22682249119492,0.01563900462962963,0.0011713923359012541,2.774652189294555,0.07694995222942788
CONV_2D,33104.023148148146,3253.0443454329134,0.10201523148148149,0.007086283711831221,3.0886901964565006,0.09773743182759963
DEPTHWISE_CONV_2D,1753.037037037037,86.99147743759963,0.00661238425925926,0.001064788922541479,3.9641813188338855,0.5886560247758861
CONV_2D,20040.875,3982.915951880653,0.06486601851851852,0.009970045013626132,3.2466572653082344,0.09001235836270631
DEPTHWISE_CONV_2D,3043.097222222222,118.24286366245857,0.009485300925925927,0.0008435015901536496,3.1076018308840934,0.14251782670082394
CONV_2D,36692.226851851854,8341.27405832771,0.11885391203703705,0.020857171430697038,3.24924421181128,0.07301289142761073
AVERAGE_POOL_2D,340.6388888888889,28.649044432818005,0.0014318287037037038,0.0021951721043872168,1.4316601756016145,2.1948554471872104
CONV_2D,16653.574074074073,2943.658229531888,0.03955699074074074,0.00696823393919835,2.378269230148278,0.041314530130785114
RESHAPE,4.787037037037037,0.4916134797206772,0.0,0.0,0.0,0.0
SOFTMAX,274.84722222222223,20.153801949624576,0.0014729166666666666,0.002083986133835472,1.4727973228997433,2.0838058293509594
