Kernel Name,Average Time (μs),Standard Deviation,Average energy spent (J),Standard Deviation,Average power (W),Standard Deviation
CONV_2D,44642.23564814815,2546.029688832083,0.12834477314814816,0.0051074294736362085,2.8771279097659863,0.05508750324174346
DEPTHWISE_CONV_2D,29772.777777777777,1053.6983385107176,0.07104749305555555,0.0023341822066894973,2.388322735249583,0.03030616686826663
CONV_2D,26276.90462962963,1425.9269104226398,0.08448635416666667,0.0029271638137660714,3.217900114753461,0.08474733737949276
DEPTHWISE_CONV_2D,13952.450925925927,590.97278514067,0.03651688425925926,0.0017529002529491709,2.6174126333587737,0.05227276191977083
CONV_2D,19986.197685185187,1087.7660586819977,0.06383897685185186,0.0023485973196430534,3.199996494512464,0.083106054155346
DEPTHWISE_CONV_2D,26621.44814814815,1094.433136333133,0.06448543287037037,0.0024186906151448776,2.423284133201198,0.03729535157032089
CONV_2D,32703.65787037037,3272.4885565658933,0.10606519444444444,0.006010929848815119,3.2577134932695384,0.14589104179986714
DEPTHWISE_CONV_2D,7168.1824074074075,327.1561823555588,0.020390858796296298,0.0011579749709308292,2.8469977685381034,0.08288115856855732
CONV_2D,17739.150462962964,3229.8124041168126,0.056258168981481484,0.006272100974986512,3.206142784106763,0.22290049000726928
DEPTHWISE_CONV_2D,13164.242592592593,536.8139527364557,0.03348051388888889,0.0016156792058151256,2.5443908028420785,0.06830041467007758
CONV_2D,32908.243055555555,2279.979935685334,0.10536636342592594,0.004367798033022296,3.2089380569603083,0.0989884685478495
DEPTHWISE_CONV_2D,3828.597685185185,167.47639329008862,0.012055043981481483,0.001127112999367591,3.1721937850086426,0.1483404915210837
CONV_2D,19042.319444444445,2820.354192983777,0.05918595138888889,0.0056318191719139,3.128724045111189,0.15733762070229318
DEPTHWISE_CONV_2D,5576.65,222.36212894485627,0.016045618055555558,0.0014705194581519916,2.8916861899481203,0.14297554164106702
CONV_2D,34065.85833333333,3742.44157458601,0.10689741203703704,0.007477494599020023,3.1496709208260554,0.1190904639250948
DEPTHWISE_CONV_2D,5569.532870370371,222.2960151779226,0.01578688425925926,0.001319987405429677,2.8460417616779607,0.10293866026155762
CONV_2D,33374.267592592594,3272.8785219031497,0.105573625,0.006720743833055995,3.1738212049211576,0.10544197628152857
DEPTHWISE_CONV_2D,6340.3375,238.65173075791844,0.017493770833333335,0.0011698826629913891,2.7612807552423204,0.08299187522632165
CONV_2D,33284.37037037037,3031.2493356779496,0.10549477777777778,0.006311846630775507,3.1777007412256366,0.10143003950809616
DEPTHWISE_CONV_2D,6392.186111111111,241.17935847672976,0.017577611111111113,0.001269517383024931,2.749368624702974,0.09013477492036757
CONV_2D,33174.22824074074,2942.585066777336,0.1052553587962963,0.006055849976160673,3.182412410356223,0.09760062667852637
DEPTHWISE_CONV_2D,5591.846296296297,218.83298317054405,0.01595391666666667,0.0012629901532928967,2.851281333676765,0.09856135829799766
CONV_2D,33136.999074074076,2985.2681799933193,0.10516483101851852,0.006122322312021688,3.18352730782472,0.10025190437062616
DEPTHWISE_CONV_2D,1733.6458333333333,84.18434924951796,0.006835506944444444,0.001111476426728879,4.065021258878749,0.5962609435349548
CONV_2D,20006.594444444443,1773.5569184359713,0.06678357638888889,0.004245687520525093,3.3458840929091025,0.08717169852316069
DEPTHWISE_CONV_2D,2992.185185185185,114.72153872393766,0.00966537962962963,0.0009531792048833656,3.223490535776086,0.21158231816515038
CONV_2D,36411.58935185185,2963.0960571449755,0.12190851157407408,0.007428921625849487,3.3525567845393605,0.06671408586319419
AVERAGE_POOL_2D,340.7162037037037,26.33961803407041,0.0016909236111111111,0.0023718782780581295,1.690916525171491,2.3718057508043984
CONV_2D,16493.13472222222,1033.5194782598514,0.040330914351851856,0.002638848603711957,2.446957219623129,0.0571332100869738
RESHAPE,4.991203703703704,1.569800776220766,2.3363425925925927e-05,0.00032673390018898786,0.023360740012495603,0.3266947146705842
SOFTMAX,276.41898148148147,21.49049985802576,0.0012595046296296297,0.0020365573734033994,1.2595263486813497,2.0366027704746767
