Kernel Name,Average Time (μs),Standard Deviation,Average energy spent (J),Standard Deviation,Average power (W),Standard Deviation
CONV_2D,21655.300925925927,223.17767626787372,0.05965636574074074,0.0014501856875141015,2.7570392099188843,0.033117278310005716
DEPTHWISE_CONV_2D,31895.055555555555,67.10796074283384,0.08376541666666668,0.0011374065132523585,2.6272047859513368,0.02314144335253861
CONV_2D,24943.73148148148,433.66110694363977,0.07693375,0.0018453505294086774,3.08267266982658,0.034248240674651015
DEPTHWISE_CONV_2D,14465.939814814816,35.794566729786155,0.039899166666666666,0.001303378711202087,2.761653634887272,0.022627631349243425
CONV_2D,14675.11574074074,230.83028584512084,0.04699377314814815,0.0013433811507278313,3.203723930704648,0.028034371966472106
DEPTHWISE_CONV_2D,27031.833333333332,60.674373747321276,0.07212761574074074,0.0009385577911587654,2.6676909055436147,0.02472483861959321
CONV_2D,18938.73611111111,294.3175247290829,0.06057016203703704,0.0017100891645162395,3.204632813081952,0.041587972456708054
DEPTHWISE_CONV_2D,7122.425925925926,30.752808876138303,0.02118127314814815,0.0010634166522657125,2.9655943000689744,0.06763750513681185
CONV_2D,9728.125,459.8848971582555,0.03303875,0.0018847414383283063,3.391612084669702,0.046220230592708876
DEPTHWISE_CONV_2D,13006.962962962964,44.05382354573356,0.036548912037037036,0.0007915902575076552,2.806257636602145,0.036787037463595566
CONV_2D,14599.078703703704,203.62026274003188,0.048940625,0.0013728813486015327,3.3439437252499506,0.04296347603946916
DEPTHWISE_CONV_2D,3341.175925925926,29.629605034712014,0.011360370370370371,0.0013110833101519987,3.4809526996604694,0.12894652651445845
CONV_2D,7011.773148148148,108.68340626561431,0.024266435185185186,0.0008579490916990282,3.4720318030792647,0.05426158048537639
DEPTHWISE_CONV_2D,6164.462962962963,30.92012586994825,0.019218703703703703,0.0011341712324118994,3.10836225478478,0.06167768556365523
CONV_2D,12065.388888888889,158.00479559842088,0.040450462962962966,0.0010927019130808177,3.3432188789678654,0.044460881616866704
DEPTHWISE_CONV_2D,5986.12037037037,29.810424970131887,0.01848310185185185,0.0005698327473887147,3.090308611447426,0.07457242545987072
CONV_2D,12054.638888888889,164.75045429788054,0.04124759259259259,0.0010208728975284302,3.418111634956591,0.045314697194504865
DEPTHWISE_CONV_2D,6160.375,36.146475738767855,0.018822962962962965,0.001078629432350129,3.0732697680727785,0.06393885711041983
CONV_2D,12020.583333333334,159.3684657338784,0.04045960648148148,0.0009768275643702658,3.36177573398855,0.03733292007608314
DEPTHWISE_CONV_2D,5972.342592592592,38.52984942849073,0.01844972222222222,0.0006377150448241452,3.0870812455131973,0.06288796310344354
CONV_2D,12058.25,165.45261294288957,0.04116907407407407,0.00109988344250908,3.4208379790064547,0.03900857140179026
DEPTHWISE_CONV_2D,6146.097222222223,29.832786954442184,0.019025208333333335,0.0012739676569114625,3.0739559553997697,0.06452988516134768
CONV_2D,12042.935185185184,165.64041112916794,0.04038425925925926,0.0011531997182587428,3.3555344751093217,0.06332745995107703
DEPTHWISE_CONV_2D,1585.0509259259259,30.919132861715884,0.007195578703703704,0.0014663531114671633,4.679546220318898,0.6519038517188716
CONV_2D,6777.523148148148,237.54964280650177,0.02391451388888889,0.001664911331136839,3.5702449472283626,0.0694648349318903
DEPTHWISE_CONV_2D,2780.4953703703704,37.592108815989505,0.010634560185185186,0.0012925534289723246,3.8462500965413007,0.21832622055480355
CONV_2D,12267.930555555555,254.14393303006005,0.04249601851851852,0.0013993269313381253,3.464881129267525,0.04696845431279316
AVERAGE_POOL_2D,185.70833333333334,9.297208113391015,0.0011784027777777778,0.0023713825510682167,1.1783409247846273,2.371269471308986
CONV_2D,2320.6296296296296,127.85412641210907,0.009810740740740741,0.001492523235568064,4.2778268279127865,0.2434825897979776
RESHAPE,4.166666666666667,0.6804138174397717,0.0,0.0,0.0,0.0
SOFTMAX,128.92592592592592,8.130536522435722,0.0009346527777777778,0.0022883674220151866,0.9346056543088979,2.288242294103214
