Kernel Name,Average Time (μs),Standard Deviation,Average energy spent (J),Standard Deviation,Average power (W),Standard Deviation
CONV_2D,44660.76435185185,2628.5749865179287,0.12609113425925927,0.0051485107641390734,2.8267040413650557,0.055306431454715206
DEPTHWISE_CONV_2D,30568.286111111112,1001.1764175540483,0.0718480138888889,0.002290078462749223,2.3503959159854544,0.027719682208229717
CONV_2D,26370.655555555557,1454.3652293172142,0.08308542592592592,0.002839377271658229,3.153205397794313,0.08258540985735575
DEPTHWISE_CONV_2D,14204.675925925925,575.7300627561319,0.03650289583333333,0.0015132376471160456,2.5728766550571107,0.044736126313241725
CONV_2D,19994.833333333332,1073.5857911345167,0.06273530555555555,0.002304918889503784,3.1430013608527534,0.07684608020096738
DEPTHWISE_CONV_2D,26784.564814814814,1076.6402436828926,0.06397672685185185,0.0023775993289258416,2.38893482158058,0.03273587752821288
CONV_2D,32840.76574074074,3293.7462073535557,0.10419545833333334,0.005999681333985581,3.187336437361735,0.1401639861701186
DEPTHWISE_CONV_2D,7270.628703703704,323.3489187397593,0.020307081018518518,0.001093215000545401,2.790021470994747,0.06481359458806302
CONV_2D,17885.72638888889,3349.4253066547376,0.05550846759259259,0.006428901266493376,3.1423507764976786,0.21884372568351135
DEPTHWISE_CONV_2D,13245.336111111112,509.7356277301687,0.03314706944444445,0.0013218979322646726,2.5037095753989727,0.043532306725734674
CONV_2D,32959.335648148146,2340.709237806232,0.1035282013888889,0.0043894226128039174,3.147311743658859,0.0967802409533366
DEPTHWISE_CONV_2D,3871.8953703703705,170.92189893083358,0.011995798611111112,0.0010614038566646134,3.1085439781028414,0.12840589682764988
CONV_2D,19115.16712962963,2869.248440977039,0.058227289351851855,0.005695689671607556,3.070960526901409,0.15149414537000747
DEPTHWISE_CONV_2D,5597.405092592592,230.0328081914314,0.015863194444444444,0.0013401839474927626,2.832662752351801,0.09796530906195296
CONV_2D,34079.49953703704,3843.3803619315727,0.1049323425925926,0.0076343899998406765,3.0918386844882404,0.11780319125353941
DEPTHWISE_CONV_2D,5623.565740740741,213.0980024334296,0.015732340277777777,0.0011979863303214107,2.7955753854488736,0.07227052733814646
CONV_2D,33265.82314814815,3211.841231233161,0.10335324768518518,0.006561899294993297,3.1173889657598357,0.10173263256116653
DEPTHWISE_CONV_2D,6334.89537037037,232.02915121941805,0.017238444444444445,0.001135305794450808,2.7217508692684205,0.06360281790244543
CONV_2D,33111.4212962963,2915.661146405319,0.10321359259259259,0.006016641890587701,3.1239915821813127,0.09594382115938141
DEPTHWISE_CONV_2D,6373.710648148148,235.51517423305094,0.017261574074074075,0.0011685866340861869,2.71299680210693,0.0675099477462348
CONV_2D,32992.936574074076,2873.944086957614,0.1030171412037037,0.005896819513985863,3.130297054641556,0.0961581536266206
DEPTHWISE_CONV_2D,5596.95,206.6474684183276,0.01568881712962963,0.001216624514636288,2.808492571072729,0.07629127201662836
CONV_2D,32918.88287037037,2733.67463006114,0.10279180092592592,0.005631490189698087,3.1307975144994225,0.09223029210560187
DEPTHWISE_CONV_2D,1736.7111111111112,80.3794292983036,0.006714462962962963,0.0010965617408089869,4.011244950374223,0.5768455241379845
CONV_2D,20036.641666666666,1886.6132818627473,0.06555222685185186,0.004381317216362004,3.27907199698373,0.08751041255227039
DEPTHWISE_CONV_2D,3013.5833333333335,112.73033827087838,0.009526016203703703,0.0008232750750960927,3.1600366728178875,0.15332057310349365
CONV_2D,36455.463425925926,3147.152160721882,0.1197237175925926,0.007444001722357959,3.2870355868806187,0.06638397343403464
AVERAGE_POOL_2D,342.3986111111111,30.271929576642613,0.0015908912037037037,0.0022878257164820706,1.5908648845264297,2.2877953682730214
CONV_2D,16493.875925925928,1045.3138140246733,0.03967813425925926,0.002533239844863505,2.406570604450543,0.03577089051600739
RESHAPE,5.17037037037037,2.7200646526650134,2.0601851851851853e-05,0.00030210976328256053,0.020597486373516716,0.30204796255016364
SOFTMAX,275.7925925925926,20.572805241402687,0.0013018032407407407,0.0020395205615555867,1.300296856435146,2.03670701138433
