Kernel Name,Average Time (μs),Standard Deviation,Average energy spent (J),Standard Deviation,Average power (W),Standard Deviation
CONV_2D,21815.4125,550.9067657652901,0.06457750462962963,0.002386075306931644,2.962324090154581,0.06531091950107408
DEPTHWISE_CONV_2D,32761.84259259259,1740.3188506922402,0.08719625,0.00410121473225831,2.662399459535398,0.03644711131136529
CONV_2D,24943.728703703702,543.7899014820662,0.07812830092592593,0.0019511047516820262,3.1327580044096854,0.030948039553747062
DEPTHWISE_CONV_2D,14924.341203703703,814.7449400740878,0.041795076388888894,0.0024638157898835607,2.8014629729159286,0.032064898916440064
CONV_2D,14670.686574074074,256.61265738629425,0.047799976851851854,0.001467722717789711,3.25800667505459,0.03716499803266794
DEPTHWISE_CONV_2D,27772.09398148148,1535.9080430255076,0.07500925462962964,0.0042312974517254845,2.7020744916848454,0.027839563395186534
CONV_2D,18953.319444444445,358.27328410501815,0.06155645138888889,0.0015656887572803215,3.246796609018622,0.036654237687047155
DEPTHWISE_CONV_2D,7361.669907407408,421.63718696026945,0.022019314814814818,0.0013905446967535458,2.994691321793155,0.052986632273820125
CONV_2D,9741.324074074075,177.6441656954265,0.03361262731481482,0.001362744518491939,3.4475973045055888,0.05487060931837129
DEPTHWISE_CONV_2D,13427.180092592593,747.69104673184,0.03812631712962963,0.002408849995307255,2.839831057902501,0.04176499108522559
CONV_2D,14629.245833333332,259.60482830792466,0.049667828703703704,0.0015420410531326548,3.3982108205390964,0.040953707048529235
DEPTHWISE_CONV_2D,3456.7425925925927,204.37311657471892,0.012045925925925927,0.0014924832724647556,3.4922951384098995,0.1389680805159824
CONV_2D,7014.9625,117.60072113838639,0.024709493055555556,0.0008623065456410954,3.5219956778251507,0.06522909937090549
DEPTHWISE_CONV_2D,6410.413425925926,359.13095711283586,0.020108453703703705,0.0015036569904997867,3.132640457223831,0.07304485135774741
CONV_2D,12086.510648148149,226.1324707578754,0.041078391203703706,0.0012322442140169218,3.402843468833728,0.0439348740397914
DEPTHWISE_CONV_2D,6138.990277777778,356.3814661882902,0.019117597222222223,0.001573353030653438,3.11530636006582,0.07532440369697886
CONV_2D,12091.167592592592,225.67112597297,0.04201057175925926,0.001282732727219602,3.4745591908073465,0.04621073761827319
DEPTHWISE_CONV_2D,6307.351388888889,357.9176130474057,0.01958993287037037,0.0013886127278667773,3.1072325014106075,0.08028026422976399
CONV_2D,12033.881481481481,303.03669993734474,0.04113173842592593,0.0012585511027917232,3.417351115875328,0.04354230351830048
DEPTHWISE_CONV_2D,6203.131018518518,346.02061188990797,0.019298837962962966,0.00137791117465005,3.1185738075509186,0.07821277863531399
CONV_2D,12091.325,313.21534558244963,0.0420534675925926,0.0014384536092578017,3.4779550053921695,0.05058825473081143
DEPTHWISE_CONV_2D,6367.657407407408,365.6947563919091,0.019761217592592594,0.00145470954491296,3.1058187057293427,0.0804533942935107
CONV_2D,12070.12361111111,196.20588439734692,0.04110847453703704,0.0011806013550461575,3.408078865648165,0.04629577368751435
DEPTHWISE_CONV_2D,1648.5694444444443,104.30443685596268,0.007453400462962964,0.001435192810088392,4.684057984534318,0.669699096934373
CONV_2D,6741.0787037037035,132.40715234046917,0.024388222222222224,0.0013794258607286271,3.6243728965457396,0.08289630571862144
DEPTHWISE_CONV_2D,2847.0310185185185,169.82681391063278,0.010920486111111112,0.0013519793085447073,3.8598251911732655,0.2310606907080562
CONV_2D,12154.039351851852,265.68037540879396,0.04273490740740741,0.0013459282528415035,3.5154731620432753,0.05066645893319074
AVERAGE_POOL_2D,188.46064814814815,26.847914043157857,0.0010789490740740742,0.0023125319081280273,1.078930321216524,2.3124827682766904
CONV_2D,2288.821759259259,150.3417440017828,0.00993180787037037,0.0015183307896164512,4.370489820560363,0.2539938811820842
RESHAPE,4.624537037037037,9.622949505898527,4.6442129629629635e-05,0.0005383209848799611,0.04644456397952329,0.5383525935585131
SOFTMAX,137.65648148148148,42.87378715085786,0.0009073842592592593,0.002233295399871133,0.9074106554789265,2.233366650627221
